Best config so far: lr=0.001 bs=256 tau=0.15. Retraining with max_epochs=60, patience=15.
Saved /Users/haseeb/Desktop/mitacs_project/week4/phase23_hyperparameter_tuning/data/long_patience_result.json
Best epoch: 4 / 20 run, best_recall10=0.1564, wall_time=2039s
{'epoch': 0, 'train_loss': 4.92464372441825, 'recall10': 0.14857269307368887, 'recall30': 0.2710334144722284, 'recall50': 0.34813011728258464}
{'epoch': 1, 'train_loss': 4.812261786344488, 'recall10': 0.155078557202921, 'recall30': 0.28077008187652136, 'recall50': 0.35954857269307366}
{'epoch': 2, 'train_loss': 4.758709648234319, 'recall10': 0.1554326178358044, 'recall30': 0.28285018809471124, 'recall50': 0.36025669395884047}
{'epoch': 3, 'train_loss': 4.721733684466052, 'recall10': 0.15565390573135648, 'recall30': 0.2832042487275946, 'recall50': 0.3615844213321531}
{'epoch': 4, 'train_loss': 4.694447181623298, 'recall10': 0.15640628457623368, 'recall30': 0.28462049125912814, 'recall50': 0.3605664970126134}
{'epoch': 5, 'train_loss': 4.67296593325174, 'recall10': 0.15640628457623368, 'recall30': 0.28134543040495685, 'recall50': 0.3593272847975216}
{'epoch': 6, 'train_loss': 4.656408488828198, 'recall10': 0.15476875414914804, 'recall30': 0.28161097587961936, 'recall50': 0.3566718300508962}
{'epoch': 7, 'train_loss': 4.64154537487723, 'recall10': 0.1525558751936269, 'recall30': 0.2786899756583315, 'recall50': 0.3545917238327064}
{'epoch': 8, 'train_loss': 4.628412734669237, 'recall10': 0.15304270856384156, 'recall30': 0.2791325514494357, 'recall50': 0.35574242088957736}
{'epoch': 9, 'train_loss': 4.617841654512854, 'recall10': 0.15344102677583535, 'recall30': 0.27776056649701264, 'recall50': 0.3537065722504979}
{'epoch': 10, 'train_loss': 4.608069880838965, 'recall10': 0.1523345872980748, 'recall30': 0.27953086966142954, 'recall50': 0.35591945120601903}
{'epoch': 11, 'train_loss': 4.597943557203871, 'recall10': 0.15206904182341227, 'recall30': 0.27882274839566273, 'recall50': 0.3542819207789334}
{'epoch': 12, 'train_loss': 4.589443406602046, 'recall10': 0.15375082982960833, 'recall30': 0.2773179907059084, 'recall50': 0.35326399645939366}
{'epoch': 13, 'train_loss': 4.581657386656822, 'recall10': 0.14914804160212436, 'recall30': 0.2745740208010622, 'recall50': 0.3507413144500996}
{'epoch': 14, 'train_loss': 4.574934588390199, 'recall10': 0.14905952644390352, 'recall30': 0.2730250055321974, 'recall50': 0.3483071475990263}
{'epoch': 15, 'train_loss': 4.569376718937984, 'recall10': 0.14950210223500773, 'recall30': 0.27289223279486613, 'recall50': 0.3494135870767869}
{'epoch': 16, 'train_loss': 4.56356787252897, 'recall10': 0.1494135870767869, 'recall30': 0.2736446116397433, 'recall50': 0.34702367780482407}
{'epoch': 17, 'train_loss': 4.558620282518413, 'recall10': 0.14905952644390352, 'recall30': 0.2727594600575349, 'recall50': 0.34786457180792213}
{'epoch': 18, 'train_loss': 4.553079449155376, 'recall10': 0.14733348085859704, 'recall30': 0.27231688426643064, 'recall50': 0.34755476875414915}
{'epoch': 19, 'train_loss': 4.549129270543283, 'recall10': 0.14888249612746182, 'recall30': 0.2697056870989157, 'recall50': 0.3452533746404072}
