system,kind,members,params_per_member,params_total,K,recall,ci95_lo,ci95_hi
ours_ens,ours,10,1705088,17050880,10,0.1903911593275159,0.18587648664128567,0.1948721404265355
ours_ens,ours,10,1705088,17050880,30,0.32674101276911155,0.3213840504026145,0.3320305919611873
ours_ens,ours,10,1705088,17050880,50,0.40787035477241335,0.4023112428826522,0.41353054142380646
ours_solo,ours,1,1705088,1705088,10,0.16556045955324955,0.16131531956470468,0.16987298271621576
ours_solo,ours,1,1705088,1705088,30,0.29470031333176105,0.28947811731410666,0.2998551261749941
ours_solo,ours,1,1705088,1705088,50,0.37326909470705166,0.36767629123007983,0.37872713183518075
ot_ens,ot,3,998144,2994432,10,0.18971732758330245,0.1852363464842829,0.19416461709511135
ot_ens,ot,3,998144,2994432,30,0.3245847511876285,0.31919409723392067,0.32994171355412555
ot_ens,ot,3,998144,2994432,50,0.40187325224891346,0.3963141403591523,0.4072975977898319
ot_solo,ot,1,998144,998144,10,0.17987938411778578,0.17553232707792865,0.18422559886796266
ot_solo,ot,1,998144,998144,30,0.3110744247161484,0.3057174623496513,0.31629662073380277
ot_solo,ot,1,998144,998144,50,0.3843873184865739,0.37889474748155383,0.38987988949159397
csa_ens,csa,3,100485,301455,10,0.1673798052626259,0.16316835686129175,0.17155756207674944
csa_ens,csa,3,100485,301455,30,0.2860078838314073,0.28085307098817425,0.29106162191300833
csa_ens,csa,3,100485,301455,50,0.358579562683198,0.35318806643981,0.3639028334624844
